Comment,Designator,Footprint,LCSC
25mhz,Y1,Oscillator_SMD_SeikoEpson_SG8002LB-4Pin_5.0x3.2mm,
AMS1117-3.3,U2,SOT-223-3_TabPin2,
STM32F405RGTx,U1,LQFP-64_10x10mm_P0.5mm,
SW_Push,SW2,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin,
15k,R10,R_0805_2012Metric,
15k,R9,R_0805_2012Metric,
1k5,R8,R_0805_2012Metric,
1k5,R7,R_0805_2012Metric,
2k2,R6,R_0805_2012Metric,
2k2,R5,R_0805_2012Metric,
2k2,R4,R_0805_2012Metric,
2k2,R3,R_0805_2012Metric,
10k,R2,R_0805_2012Metric,
1k5,R1,R_0805_2012Metric,
USB_C_Plug,P1,USB_C_Plug_Molex_105444,
Conn_01x06_Male,J7,JST_EH_S6B-EH_1x06_P2.50mm_Horizontal,
Conn_01x04_Male,J6,JST_EH_S4B-EH_1x04_P2.50mm_Horizontal,
Conn_01x08_Male,J5,JST_XH_S8B-XH-A-1_1x08_P2.50mm_Horizontal,
Conn_01x07_Male,J4,JST_XH_S7B-XH-A_1x07_P2.50mm_Horizontal,
Conn_01x09_Male,J3,JST_XH_S9B-XH-A-1_1x09_P2.50mm_Horizontal,
Conn_01x04_Male,J2,JST_EH_S4B-EH_1x04_P2.50mm_Horizontal,
Conn_01x04_Male,J1,JST_EH_S4B-EH_1x04_P2.50mm_Horizontal,
LED,D1,LED_0805_2012Metric,
100n,C14,C_0805_2012Metric,
100n,C13,C_0805_2012Metric,
100n,C12,C_0805_2012Metric,
100n,C11,C_0805_2012Metric,
1u,C10,C_0805_2012Metric,
1u,C9,C_0805_2012Metric,
10n,C8,C_0805_2012Metric,
10p,C4,C_0805_2012Metric,
10p,C3,C_0805_2012Metric,
22u,C2,C_0805_2012Metric,
22u,C1,C_0805_2012Metric,
FerriteBead,120R1,L_0805_2012Metric,
