Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
120R1,FerriteBead,L_0805_2012Metric,142.1384,-105.8672,0.0,top
C1,22u,C_0805_2012Metric,161.5384,-106.8972,0.0,top
C2,22u,C_0805_2012Metric,195.6884,-78.8972,0.0,top
C3,10p,C_0805_2012Metric,151.9384,-113.2072,0.0,top
C4,10p,C_0805_2012Metric,185.9884,-86.3772,0.0,top
C8,10n,C_0805_2012Metric,175.9884,-92.3172,0.0,top
C9,1u,C_0805_2012Metric,185.9884,-83.3672,0.0,top
C10,1u,C_0805_2012Metric,142.0884,-108.7472,0.0,top
C11,100n,C_0805_2012Metric,151.9384,-116.2172,0.0,top
C12,100n,C_0805_2012Metric,171.4384,-89.2772,0.0,top
C13,100n,C_0805_2012Metric,190.4384,-83.3672,0.0,top
C14,100n,C_0805_2012Metric,156.3884,-113.2072,0.0,top
D1,LED,LED_0805_2012Metric,175.9084,-89.2922,0.0,top
J1,Conn_01x04_Male,JST_EH_S4B-EH_1x04_P2.50mm_Horizontal,152.0384,-96.1347,0.0,top
J2,Conn_01x04_Male,JST_EH_S4B-EH_1x04_P2.50mm_Horizontal,176.4884,-82.5847,0.0,top
J3,Conn_01x09_Male,JST_XH_S9B-XH-A-1_1x09_P2.50mm_Horizontal,133.7884,-84.1672,0.0,top
J4,Conn_01x07_Male,JST_XH_S7B-XH-A_1x07_P2.50mm_Horizontal,158.2384,-84.1672,0.0,top
J5,Conn_01x08_Male,JST_XH_S8B-XH-A-1_1x08_P2.50mm_Horizontal,132.5384,-97.7172,0.0,top
J6,Conn_01x04_Male,JST_EH_S4B-EH_1x04_P2.50mm_Horizontal,152.0384,-106.5147,0.0,top
J7,Conn_01x06_Male,JST_EH_S6B-EH_1x06_P2.50mm_Horizontal,130.0884,-109.6847,0.0,top
P1,USB_C_Plug,USB_C_Plug_Molex_105444,188.6134,-79.3772,0.0,top
R1,1k5,R_0805_2012Metric,156.3684,-116.1872,0.0,top
R2,10k,R_0805_2012Metric,161.5184,-112.8272,0.0,top
R3,2k2,R_0805_2012Metric,175.9684,-95.2972,0.0,top
R4,2k2,R_0805_2012Metric,195.6684,-81.8772,0.0,top
R5,2k2,R_0805_2012Metric,165.9684,-106.8672,0.0,top
R6,2k2,R_0805_2012Metric,165.9284,-109.8772,0.0,top
R7,1k5,R_0805_2012Metric,180.4184,-92.1972,0.0,top
R8,1k5,R_0805_2012Metric,151.9184,-119.1972,0.0,top
R9,15k,R_0805_2012Metric,180.4184,-89.2472,0.0,top
R10,15k,R_0805_2012Metric,161.5184,-109.8772,0.0,top
SW2,SW_Push,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin,125.5384,-117.7972,0.0,top
U1,STM32F405RGTx,LQFP-64_10x10mm_P0.5mm,166.5384,-98.1672,0.0,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,144.7884,-115.8272,0.0,top
Y1,25mhz,Oscillator_SMD_SeikoEpson_SG8002LB-4Pin_5.0x3.2mm,134.0884,-117.4972,0.0,top
