Comment,Designator,Footprint,LCSC
FerriteBead,120R1,L_0805_2012Metric,C127301
LED,"D1,D3,D4,D5,D6,D7,D8,D9",LED_0805_2012Metric,C130114
DIODE,D2,D_0805_2012Metric,C133103
STM32F405RGTx,U1,LQFP-64_10x10mm_P0.5mm,C15742
USB_C_Receptacle,J9,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
10n,C8,C_0805_2012Metric,C1710
660,"R17,R18,R19,R20,R23,R24,R25",R_0805_2012Metric,C17455
150,R1,R_0805_2012Metric,C17471
2k2,"R3,R4,R5,R6",R_0805_2012Metric,C17520
4k7,"R13,R2,R32",R_0805_2012Metric,C17673
WM8960CGEFL/RV,U14,QFN50P500X500X90-33N,C18752
SG-5032CAN,X1,Oscillator_SMD_SeikoEpson_SG8002LB-4Pin_5.0x3.2mm,C1987261
100,"R14,R27,R28,R29,R31",R_0805_2012Metric,C212282
SW_Push,"SW1,SW2,SW3,SW4",SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin,C266189
5k1,"R11,R12",R_0805_2012Metric,C27834
USBLC6-2P6,U4,SOT-666,C2827693
1u,"C10,C9",C_0805_2012Metric,C28323
1x4_connector,"U17,U9",1x4_connector,C2845685
1x6_connector,"U18,U19,U5,U8",1x6_connector,C2845687
1x7_connector,U6,1x7_connector,C2845688
1x8_connector,"U20,U3",1X8_CONNECTOR,C2845689
1x9_connector,U7,1x9_connector,C2845690
ESP32-S3-WROOM-1-N8R2,U11,ESP32-S3-WROOM-1-N8R2,C2913204
SW_DIP_x02,"SW5,SW6,SW7,SW8",SW_DIP_SPSTx02_Slide_6.7x6.64mm_W6.73mm_P2.54mm_LowProfile_JPin,C3293152
AMS1117-3.3,U2,SOT-223-3_TabPin2,C351784
560,"R10,R21,R22,R9",R_0805_2012Metric,C374648
220,R26,R_0805_2012Metric,C374734
4.7u,"C15,C7",C_0805_2012Metric,C412634
BM20B(0.8)-24DS-0.4V(51),U16,BM20B(0.8)-24DS-0.4V(51),C424537
1k5,"R7,R8",R_0805_2012Metric,C4310
22u,"C1,C2",C_0805_2012Metric,C45783
10k,"R15,R16",R_0805_2012Metric,C465472
100n,"C11,C12,C13,C14,C16,C17,C18,C3,C4,C5,C6",C_0805_2012Metric,C49678
CH340N,U15,SOIC127P600X180-16N,C506813
M24C02-RDW6TP,CR1,M24C02-RDW6TP,C83836
