Ref,Val,Package,PosX,PosY,Rot,Side
"120R1","FerriteBead","L_0603_1608Metric",161.737500,-103.425000,0.000000,top
"C1","4u7","C_0402_1005Metric",147.887500,-134.675000,90.000000,top
"C2","22u","C_0402_1005Metric",173.777500,-86.535000,-90.000000,top
"C3","4.7u","C_0402_1005Metric",168.737500,-111.975000,90.000000,top
"C4","33P","C_0805_2012Metric",168.737500,-106.675000,-90.000000,top
"C5","10U","C_0402_1005Metric",154.787500,-130.075000,90.000000,top
"C6","4.7u","C_0402_1005Metric",170.977500,-116.405000,0.000000,top
"C7","100n","C_0402_1005Metric",164.537500,-111.975000,-90.000000,top
"C8","10n","C_0402_1005Metric",158.587500,-103.475000,-90.000000,top
"C9","1u","C_0402_1005Metric",159.687500,-103.475000,-90.000000,top
"C10","1u","C_0402_1005Metric",163.787500,-103.475000,-90.000000,top
"C11","100n","C_0402_1005Metric",153.437500,-97.775000,0.000000,top
"C12","100n","C_0402_1005Metric",154.087500,-112.825000,180.000000,top
"C13","100n","C_0402_1005Metric",143.987500,-110.225000,180.000000,top
"C14","100n","C_0402_1005Metric",145.637500,-99.025000,90.000000,top
"C15","100n","C_0402_1005Metric",164.987500,-120.075000,0.000000,top
"C16","100n","C_0402_1005Metric",163.037500,-119.025000,90.000000,top
"C17","1u","C_0402_1005Metric",162.387500,-115.175000,0.000000,top
"C18","1u","C_0402_1005Metric",162.387500,-116.225000,0.000000,top
"C19","4u7","C_0402_1005Metric",136.087500,-99.405000,90.000000,top
"C20","100n","C_0402_1005Metric",180.587500,-97.525000,90.000000,top
"C21","2u2","C_0402_1005Metric",146.687500,-97.625000,-90.000000,top
"C22","2u2","C_0402_1005Metric",142.637500,-109.025000,0.000000,top
"C23","33P","C_0805_2012Metric",175.187500,-106.125000,90.000000,top
"C24","100n","C_0402_1005Metric",168.847500,-103.665000,-90.000000,top
"C25","100n","C_0402_1005Metric",177.437500,-93.775000,90.000000,top
"C26","100n","C_0402_1005Metric",166.837500,-100.925000,90.000000,top
"C27","1u","C_0402_1005Metric",162.387500,-117.275000,0.000000,top
"C28","4.7u","C_0402_1005Metric",162.387500,-114.125000,180.000000,top
"C29","100U","C_1206_3216Metric",166.437500,-107.705000,90.000000,top
"C30","100U","C_1206_3216Metric",164.007500,-107.705000,90.000000,top
"C31","4.7u","C_0402_1005Metric",167.687500,-111.975000,-90.000000,top
"C32","100n","C_0402_1005Metric",152.297500,-128.655000,90.000000,top
"C33","100n","C_0402_1005Metric",137.807500,-112.435000,180.000000,top
"CR1","M24C02-RDW6TP","New_ESP32_M24C02-RMN6TP",136.687500,-115.875000,0.000000,top
"D2","1N5819WS","D_SOD-323",131.387500,-100.935000,0.000000,top
"D3","ASMB-MTB1-0A3A2","LED RGB",139.462500,-61.695000,90.000000,top
"D4","ASMB-MTB1-0A3A2","LED RGB",154.462500,-61.695000,90.000000,top
"D5","ASMB-MTB1-0A3A2","LED RGB",144.462500,-61.695000,90.000000,top
"D10","1N5819WS","D_SOD-323",131.387500,-103.865000,0.000000,top
"D11","LED","LED_0805_2012Metric",143.997500,-134.065000,90.000000,top
"D18","ASMB-MTB1-0A3A2","LED RGB",149.462500,-61.695000,90.000000,top
"J1","Conn_01x02_Female","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",137.697500,-83.105000,180.000000,top
"J2","Conn_01x02_Female","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",181.287500,-116.125000,90.000000,top
"J3","Conn_01x04_Female","1x4pin 1mm connector",115.027500,-143.775000,0.000000,top
"J4","Conn_01x08_Male","PinHeader_1x08_P2.54mm_Vertical",183.087500,-79.885000,0.000000,top
"J5","Conn_01x04_Female","1x4pin 1mm connector",126.657500,-143.825000,0.000000,top
"J6","Conn_01x04_Female","1x4pin 1mm connector",168.307500,-123.885000,180.000000,top
"J7","Conn_01x04_Female","1x4pin 1mm connector",133.537500,-143.795000,0.000000,top
"J8","Conn_01x06_Female","JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal",181.287500,-129.325000,90.000000,top
"J9","USB_C_Receptacle","USB_C_Receptacle_HRO_TYPE-C-31-M-12",150.287500,-141.125000,0.000000,top
"J10","Conn_01x08_Female","JST_PH_S8B-PH-SM4-TB_1x08-1MP_P2.00mm_Horizontal",119.557500,-123.655000,-90.000000,top
"J11","Conn_01x06_Female","JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal",165.237500,-140.025000,0.000000,top
"J12","Conn_01x04_Female","1x4pin 1mm connector",175.267500,-123.915000,180.000000,top
"J13","Conn_01x04_Female","1x4pin 1mm connector",126.467500,-60.125000,180.000000,top
"J14","Conn_01x04_Female","1x4pin 1mm connector",133.337500,-60.105000,180.000000,top
"J15","Conn_01x02_Female","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",171.537500,-61.425000,180.000000,top
"R1","4k7","R_0402_1005Metric",174.137500,-109.065000,90.000000,top
"R2","5k1","R_0402_1005Metric",152.087500,-134.525000,-90.000000,top
"R3","5k1","R_0402_1005Metric",149.137500,-134.675000,-90.000000,top
"R4","15k","R_0402_1005Metric",142.397500,-70.325000,180.000000,top
"R5","15k","R_0402_1005Metric",159.677500,-108.725000,90.000000,top
"R6","180","R_0402_1005Metric",135.337500,-73.025000,-90.000000,top
"R7","1k5","R_0402_1005Metric",136.737500,-138.175000,-90.000000,top
