Designator,Mid X,Mid Y,Rotation,Layer
120R1,161.7375,-103.425,0.0,top
C1,147.757915,-134.258605,90.0,top
C10,163.7875,-103.475,270.0,top
C11,153.4375,-97.775,0.0,top
C12,154.0875,-112.825,180.0,top
C13,143.9875,-110.225,180.0,top
C14,145.6375,-99.025,90.0,top
C15,164.9875,-120.075,0.0,top
C16,163.0375,-119.025,90.0,top
C17,162.3875,-115.175,0.0,top
C18,162.3875,-116.225,0.0,top
C19,136.0875,-99.405,90.0,top
C2,173.7775,-86.535,270.0,top
C20,180.5875,-97.525,90.0,top
C21,146.6875,-97.625,270.0,top
C22,142.6375,-109.025,0.0,top
C23,175.1875,-106.125,90.0,top
C24,168.8475,-103.665,270.0,top
C25,177.4375,-93.775,90.0,top
C26,166.8375,-100.925,90.0,top
C27,162.3875,-117.275,0.0,top
C28,162.3875,-114.125,180.0,top
C29,166.4375,-107.705,90.0,top
C3,168.7375,-111.975,90.0,top
C30,164.0075,-107.705,90.0,top
C31,167.6875,-111.975,270.0,top
C32,152.2975,-128.655,90.0,top
C33,137.8075,-112.435,180.0,top
C4,168.7375,-106.675,270.0,top
C5,154.7875,-130.075,90.0,top
C6,170.9775,-116.405,0.0,top
C7,164.5375,-111.975,270.0,top
C8,158.5875,-103.475,270.0,top
C9,159.6875,-103.475,270.0,top
CR1,136.6875,-115.875,0.0,top
D10,131.3875,-103.865,0.0,top
D11,143.9975,-134.065,90.0,top
D18,149.4625,-61.695,90.0,top
D2,131.3875,-100.935,0.0,top
D3,139.4625,-61.695,90.0,top
D4,154.4625,-61.695,90.0,top
D5,144.4625,-61.695,90.0,top
J1,137.6975,-83.105,180.0,top
J10,119.5575,-123.655,270.0,top
J11,165.2375,-140.025,0.0,top
J12,175.2675,-123.915,180.0,top
J13,126.4675,-60.125,180.0,top
J14,133.3375,-60.105,180.0,top
J15,171.5375,-61.425,180.0,top
J2,181.2875,-116.125,90.0,top
J3,115.0275,-143.775,0.0,top
J4,183.0875,-79.885,0.0,top
J5,126.6575,-143.825,0.0,top
J6,168.3075,-123.885,180.0,top
J7,133.5375,-143.795,0.0,top
J8,181.2875,-129.325,90.0,top
J9,148.71,-141.0,0.0,top
R1,174.1375,-109.065,90.0,top
R11,134.2875,-73.025,270.0,top
R12,133.2375,-73.025,270.0,top
R13,128.6875,-73.025,270.0,top
R14,127.6625,-73.025,270.0,top
R15,126.6375,-73.025,270.0,top
R16,138.6375,-73.025,90.0,top
R17,137.5875,-73.025,90.0,top
R18,136.5375,-73.025,90.0,top
R19,166.2375,-99.205,0.0,top
R2,152.0875,-134.525,270.0,top
R20,117.0975,-138.035,270.0,top
R21,118.1075,-138.025,270.0,top
R22,125.9875,-116.675,0.0,top
R23,131.9875,-73.025,90.0,top
R24,130.9375,-73.025,90.0,top
R25,129.8875,-73.025,90.0,top
R26,125.9875,-118.625,0.0,top
R27,125.9875,-120.625,0.0,top
R28,126.0875,-122.725,0.0,top
R29,125.9875,-128.575,0.0,top
R3,149.007915,-134.258605,270.0,top
R30,125.9875,-124.725,0.0,top
R31,125.9875,-126.675,0.0,top
R32,147.4875,-87.525,90.0,top
R33,131.3075,-65.625,270.0,top
R34,130.2175,-65.635,270.0,top
R35,129.1475,-65.625,270.0,top
R36,137.9875,-101.945,270.0,top
R37,137.9375,-104.875,270.0,top
R38,138.5875,-99.435,270.0,top
R39,139.9375,-99.425,270.0,top
R4,142.3975,-70.325,180.0,top
R40,170.5975,-67.895,270.0,top
R41,137.1175,-132.905,180.0,top
R5,159.6775,-108.725,90.0,top
R6,135.3375,-73.025,270.0,top
R7,136.7375,-138.175,270.0,top
R8,135.6275,-138.135,270.0,top
R9,162.3875,-113.075,180.0,top
SW1,117.0675,-61.375,90.0,top
SW2,163.9375,-61.175,90.0,top
SW3,158.6875,-61.225,90.0,top
U1,150.3875,-105.425,180.0,top
U11,153.2375,-76.2,0.0,top
U12,135.5375,-103.875,270.0,top
U13,138.1075,-131.035,90.0,top
U2,169.3875,-85.035,90.0,top
U3,155.9375,-123.895,90.0,top
U4,157.9375,-129.975,0.0,top
U5,172.5375,-98.125,90.0,top
U6,166.84,-116.325,0.0,top
Y1,171.9875,-106.125,0.0,top
