Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
120R1,FerriteBead,L_0805_2012Metric,140.93,-99.06,0.0,top
C1,22u,C_0805_2012Metric,173.99,-92.71,180.0,top
C2,22u,C_0805_2012Metric,167.132,-96.52,180.0,top
C4,100n,C_0805_2012Metric,138.66,-91.94,-90.0,top
C5,100n,C_0805_2012Metric,145.87,-84.59,-90.0,top
C8,10n,C_0805_2012Metric,145.542,-94.996,-90.0,top
C9,1u,C_0805_2012Metric,146.05,-99.06,0.0,top
C10,1u,C_0805_2012Metric,143.51,-102.135,0.0,top
C11,100n,C_0805_2012Metric,149.987,-83.566,0.0,top
C12,100n,C_0805_2012Metric,162.306,-86.868,90.0,top
C13,100n,C_0805_2012Metric,159.004,-99.822,0.0,top
C14,100n,C_0805_2012Metric,151.13,-101.092,180.0,top
D1,LED,LED_0805_2012Metric,174.117,-95.885,180.0,top
D2,DIODE,D_0805_2012Metric,173.99,-90.17,180.0,top
J9,USB_C_Receptacle,USB_C_Receptacle_HRO_TYPE-C-31-M-12,193.49,-92.36,90.0,top
R1,150,R_0805_2012Metric,174.117,-98.552,0.0,top
R2,4k7,R_0805_2012Metric,143.33,-84.59,90.0,top
R3,2k2,R_0805_2012Metric,165.68,-102.06,90.0,top
R4,2k2,R_0805_2012Metric,168.33,-102.06,90.0,top
R5,2k2,R_0805_2012Metric,170.88,-102.1,90.0,top
R6,2k2,R_0805_2012Metric,173.49,-102.13,90.0,top
R7,1k5,R_0805_2012Metric,152.4,-80.01,0.0,top
R8,1k5,R_0805_2012Metric,156.54,-79.96,180.0,top
R9,15k,R_0805_2012Metric,172.32,-80.65,0.0,top
R10,15k,R_0805_2012Metric,172.4,-78.24,0.0,top
R11,5k1,R_0805_2012Metric,172.31,-83.0,0.0,top
R12,5k1,R_0805_2012Metric,172.29,-85.344,0.0,top
R13,4k7,R_0805_2012Metric,157.16,-83.26,180.0,top
SW1,SW_Push,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin,163.46,-79.5,180.0,top
SW2,SW_Push,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin,137.19,-84.73,90.0,top
U1,STM32F405RGTx,LQFP-64_10x10mm_P0.5mm,154.2288,-91.7956,0.0,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,167.894,-90.932,90.0,top
U3,1x8_connector,1X8_CONNECTOR,123.46115,-89.33,-90.0,top
U4,1x4_connector,1x4_connector,162.5,-72.5,180.0,top
U5,1x6_connector,1x6_connector,183.9,-72.51,180.0,top
U6,1x7_connector,1x7_connector,146.29,-72.55,180.0,top
U7,1x9_connector,1x9_connector,150.91,-111.64,0.0,top
U8,1x6_connector,1x6_connector,180.41,-111.61,0.0,top
U9,1x4_connector,1x4_connector,134.46,-111.64,0.0,top
U10,1x6_connector,1x6_connector,123.43,-68.21,-90.0,top
X1,SG-5032CAN,Oscillator_SMD_SeikoEpson_SG8002LB-4Pin_5.0x3.2mm,143.43,-90.2,0.0,top
