Reference,Value,JLCPCB Part #,Basic,Extended items,,Total extended
C20,2p2,C519933,No,1,,82
"C2,C3",33p,C107115,No,1,,
"C58,C60,C61,C62,C63",47p,C1567,Yes,,,
"C57,C59",100p,C1546,Yes,,,
"C1,C6,C8,C9,C13,C17,C21,C23,C25,C38,C39,C40,C41,C42,C43,C46,C47,C49,C50,C52,C53",100n,C1525,Yes,,,
"C10,C11,C14,C19,C22",100n,C85866,No,21,,
"C48,C55",100n,C307331,Yes,,,
C7,1u,C28323,Yes,,,
"C32,C36",1u,C52923,Yes,,,
L2,1.5uH,C3033018,No,2,,
C18,2u2,C377773,Yes,,,
"C44,C45",2u2,C12530,Yes,,,
"C26,C28,C33,C37",4u7,C23733,Yes,,,
"C4,C5,C12",10u,C307415,No,4,,
"C15,C16,C51",10u,C87157,No,3,,
"C24,C27,C29,C30,C31,C35",22u,C5674,No,3,,
C34,100u,C15008,Yes,,,
"R2,R14,R48,R52,R63,R65,R76,R77,R78,R79,R80",0R1,C1882650,No,1,,
R83,4R7,C23164,Yes,,,
"R20,R21,R34,R35,R59,R60",150R,C25082,No,1,,
"R15,R33,R56",180R,C25087,Yes,,,
"R1,R4,R5,R9,R10,R17,R24,R40,R44,R45,R46,R49,R50,R57,R58,R70,R71,R72,R73,R74,R84",1k0,C11702,Yes,,,
"R11,R16,R19",1k5,C25867,Yes,,,
R31,2k2,C25879,Yes,,,
"R22,R23,R30,R37,R38,R39,R41,R42,R43,R51,R54,R55,R61,R62,R66,R67,R68,R69",4k7,C25900,Yes,,,
"R7,R8",5k1,C25905,Yes,,,
"R6,R12,R36,R47,R81",10k,C25744,Yes,,,
"R13,R29,R53",15k,C25756,Yes,,,
R86,33k,C25779,Yes,,,
"R3,R25,R64",47k,C25792,Yes,,,
R27,64k9,C26984,No,3,,
"R18,R28,R32,R75",100k,C25741,Yes,,,
R26,360k, C45956,No,4,,
Y1,16MHz,C13738,Yes,,,
"D2,D3,D5","LED_BGAR,NET_LED",C2874115,No,1,,
"Q1,Q2,Q3",2N7002,C8545,Yes,,,
J3,AudioJack4,C431535,No,3,,
"L1,L3,L4,L5",BLM15HG102SN1D,C76889,No,1,,
U1,BQ21040DBV,C202311,No,4,,
U4,CH340C,C7464026,No,1,,
J2,Conn_01x02_Socket,C295747,No,1,,
"J4,J5",Conn_02x03_Odd_Even, C3294461,No,1,,
"J6,J7,J8,J9,J11",Conn_02x05_Counter_Clockwise,C3975150,No,2,,
CN1,Conn_05x02_Female,C2962222,No,5,,
U7,ESP32-S3-WROOM-1,C3013944,No,1,,
D1,LED,C130114,No,1,,
U8,M24C02-RMN6TP,C83836,No,1,,
CN2,PJ-242,C431536,No,1,,
U3,STM32F072CBTx,C80488,No,1,,
U10,STM32F405RGTx,C15742,No,1,,
"SW2,SW3",SW_Push,C139797,No,1,,
"SW4,SW5",SW_Push,C318886,No,2,,
"SW6,SW7",SW_Push,C2906288,No,2,,
SW1,SW_SPDT,C963206,No,2,,
U9,TPS2116DRL,C3235557,No,1,,
U5,TPS63060,C48567,No,1,,
J1,USB_C_Receptacle,C165948,No,1,,
U2,USBLC6-2P6,C2827693,No,1,,
U6,WM8960CGEFL/RV,C18752,No,1,,
U12,XC6227C301MR-G,C484285,No,1,,
