Comment,Designator,Footprint,LCSC
6.8k,R39,R_0805_2012Metric,C102042
LED,"D12,D5,D9",LED_0805_2012Metric,C107402
LED,"D13,D6",LED_0805_2012Metric,C108412
NC7SZ125P5X,"U3,U9",SOT-353_SC-70-5,C12519
FerriteBead,120R1,L_0603_1608Metric,C127301
LED,"D1,D11,D3,D7",LED_0805_2012Metric,C130114
LED,"D4,D8",LED_0805_2012Metric,C130115
STM32F405RGTx,U1,LQFP-64_10x10mm_P0.5mm,C15742
10U,C5,C_0805_2012Metric,C15850
USB_C_Receptacle,J9,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
10n,C8,C_0805_2012Metric,C1710
150,R1,R_0805_2012Metric,C17471
220,"R10,R26,R30,R33,R34,R35,R9",R_0805_2012Metric,C17557
4K7,"R21,R3,R32,R4,R5,R6",R_0805_2012Metric,C17673
WM8960CGEFL/RV,U14,QFN50P500X500X90-33N,C18752
1N5819WS,"D10,D2",D_SOD-323,C191023
CD4013BM,U15,SOIC127P600X175-14N,C194333
SG-5032CAN,X1,Oscillator_SMD_SeikoEpson_SG8002LB-4Pin_5.0x3.2mm,C1987261
100,"R27,R28,R29,R31",R_0805_2012Metric,C212282
Conn_01x08_Female,"J10,J4,J6,J8",JST_PH_S8B-PH-SM4-TB_1x08-1MP_P2.00mm_Horizontal,C265121
Conn_01x06_Female,J11,JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal,C265405
SW_Push,"SW10,SW3,SW5,SW6,SW9",SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin,C266189
5k1,"R11,R12",R_0805_2012Metric,C27834
USBLC6-2P6,U4,SOT-666,C2827693
1u,"C10,C9",C_0805_2012Metric,C28323
2k,R37,R_0805_2012Metric,C285226
660,"R17,R18,R19,R20,R22,R23,R24,R25,R40",R_0805_2012Metric,C28636
Conn_01x04_Female,"J3,J5,J7",1x4pin 1mm connector,C2904986
Conn_01x02_Female,J1,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,C295747
ESP32-S3-WROOM-1-N8R2,U11,ESP32-S3-WROOM-1U,C3013944
Conn_01x06_Female,J2,1x6pin 1mm connector,C3041141
1K1,"R15,R41",R_0805_2012Metric,C325794
AMS1117-3.3,U2,SOT-223-3_TabPin2,C351784
1k,R36,R_0805_2012Metric,C408924
4u7,"C1,C15,C19,C7",C_0805_2012Metric,C412634
MCP73832-2-OT,U12,SOT-23-5,C424093
1k5,"R7,R8",R_0805_2012Metric,C4310
22u,C2,C_0805_2012Metric,C45783
10k,R38,R_0805_2012Metric,C465472
100n,"C11,C12,C13,C14,C16,C17,C18,C20,C23,C24,C25,C3,C4,C6",C_0805_2012Metric,C49678
74HC4052,U16,SO16,C507179
"74HC14D,653",U8,SOIC127P600X175-14N,C5605
2u2,"C21,C22",C_0603_1608Metric,C76641
M24C02-RDW6TP,CR1,New_ESP32_M24C02-RMN6TP,C83836
CH340C,U10,SOIC-16_3.9x9.9mm_P1.27mm,C84681
BM14B(0.8)-24DS-0.4V(53),U13,BM14B(0.B)-24DS-0.4V(53),
