Comment,Designator,Footprint,LCSC
FerriteBead,120R1,L_0805_2012Metric,C127301
LED,D1,LED_0805_2012Metric,C130114
DIODE,D2,D_0805_2012Metric,C133103
STM32F405RGTx,U1,LQFP-64_10x10mm_P0.5mm,C15742
USB_C_Receptacle,J9,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
10n,C8,C_0805_2012Metric,C1710
150,R1,R_0805_2012Metric,C17471
15k,"R10,R9",R_0805_2012Metric,C17475
2k2,"R3,R4,R5,R6",R_0805_2012Metric,C17520
4k7,"R13,R2",R_0805_2012Metric,C17673
SG-5032CAN,X1,Oscillator_SMD_SeikoEpson_SG8002LB-4Pin_5.0x3.2mm,C1987261
SW_Push,"SW1,SW2",SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin,C266189
5k1,"R11,R12",R_0805_2012Metric,C27834
1u,"C10,C9",C_0805_2012Metric,C28323
1x4_connector,"U4,U9",1x4_connector,C2845685
1x6_connector,"U10,U5,U8",1x6_connector,C2845687
1x7_connector,U6,1x7_connector,C2845688
1x8_connector,U3,1X8_CONNECTOR,C2845689
1x9_connector,U7,1x9_connector,C2845690
AMS1117-3.3,U2,SOT-223-3_TabPin2,C351784
1k5,"R7,R8",R_0805_2012Metric,C4310
22u,"C1,C2",C_0805_2012Metric,C45783
100n,"C11,C12,C13,C14,C4,C5",C_0805_2012Metric,C49678
