Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
120R1,FerriteBead,L_0603_1608Metric,162.7,-103.425,0.0,top
C1,10u,C_0402_1005Metric,133.9,-139.91,-90.0,top
C2,10u,C_0402_1005Metric,132.14,-133.68,0.0,top
C3,4.7u,C_0402_1005Metric,168.7375,-111.975,90.0,top
C4,33P,C_0805_2012Metric,168.7375,-106.675,-90.0,top
C6,4.7u,C_0402_1005Metric,170.9775,-116.405,0.0,top
C7,100n,C_0402_1005Metric,164.5375,-111.975,-90.0,top
C8,10n,C_0402_1005Metric,159.5,-103.475,-90.0,top
C9,1u,C_0402_1005Metric,160.6,-103.475,-90.0,top
C10,1u,C_0402_1005Metric,164.8,-103.475,-90.0,top
C11,100n,C_0402_1005Metric,154.5,-97.775,0.0,top
C12,100n,C_0402_1005Metric,156.21,-113.53,180.0,top
C13,100n,C_0402_1005Metric,146.38,-111.7,-90.0,top
C14,100n,C_0402_1005Metric,146.77,-99.05,90.0,top
C15,100n,C_0402_1005Metric,164.9875,-120.075,0.0,top
C16,100n,C_0402_1005Metric,163.0375,-119.025,90.0,top
C17,1u,C_0402_1005Metric,162.3875,-115.175,0.0,top
C18,1u,C_0402_1005Metric,162.3875,-116.225,0.0,top
C21,2u2,C_0402_1005Metric,148.08,-97.62,-90.0,top
C22,2u2,C_0402_1005Metric,147.14,-113.24,0.0,top
C23,33P,C_0805_2012Metric,175.1875,-106.125,90.0,top
C24,100n,C_0402_1005Metric,168.8475,-103.665,-90.0,top
C25,100n,C_0402_1005Metric,177.4375,-93.775,90.0,top
C26,100n,C_0402_1005Metric,166.84,-101.07,90.0,top
C28,4.7u,C_0402_1005Metric,162.3875,-114.125,180.0,top
C29,100U,C_1206_3216Metric,166.4375,-107.705,90.0,top
C30,100U,C_1206_3216Metric,164.0075,-107.705,90.0,top
C31,4.7u,C_0402_1005Metric,167.6875,-111.975,-90.0,top
C32,100n,C_0402_1005Metric,152.2975,-128.655,90.0,top
C33,100n,C_0402_1005Metric,148.9,-126.7,180.0,top
C34,100n,C_0402_1005Metric,168.73,-93.36,-90.0,top
C35,100n,C_0402_1005Metric,176.92,-105.81,-90.0,top
C36,100n,C_0402_1005Metric,173.93,-124.07,0.0,top
