Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
120R1,FerriteBead,L_0805_2012Metric,148.82,-73.66,-90.0,top
C1,22u,C_0805_2012Metric,202.7,-65.4,90.0,top
C2,22u,C_0805_2012Metric,191.9,-76.4,180.0,top
C3,100n,C_0805_2012Metric,127.1,-71.2,90.0,top
C4,100n,C_0805_2012Metric,145.23,-68.88,-90.0,top
C5,100n,C_0805_2012Metric,153.0,-59.9,-90.0,top
C6,100n,C_0805_2012Metric,127.1,-74.8,90.0,top
C7,4.7u,C_0805_2012Metric,126.9,-65.2,-90.0,top
C8,10n,C_0805_2012Metric,153.6,-71.56,90.0,top
C9,1u,C_0805_2012Metric,151.28,-73.56,-90.0,top
C10,1u,C_0805_2012Metric,146.48,-73.62,90.0,top
C11,100n,C_0805_2012Metric,157.75,-60.62,0.0,top
C12,100n,C_0805_2012Metric,170.52,-64.03,90.0,top
C13,100n,C_0805_2012Metric,168.4,-76.8,0.0,top
C14,100n,C_0805_2012Metric,157.5,-77.4,180.0,top
C15,4.7u,C_0805_2012Metric,132.5,-61.8,-90.0,top
C16,100n,C_0805_2012Metric,129.3,-61.8,90.0,top
C17,100n,C_0805_2012Metric,134.8,-61.8,90.0,top
C18,100n,C_0805_2012Metric,137.1,-67.0,90.0,top
CR1,M24C02-RDW6TP,New_ESP32_M24C02-RMN6TP,122.6,-48.3,180.0,top
D1,LED,LED_0805_2012Metric,188.2,-76.4,0.0,top
D2,DIODE,D_0805_2012Metric,195.6,-76.4,180.0,top
D3,LED,LED_0805_2012Metric,118.4,-81.2,-90.0,top
D4,LED,LED_0805_2012Metric,125.6,-81.2,-90.0,top
D5,LED,LED_0805_2012Metric,120.8,-81.2,-90.0,top
D6,LED,LED_0805_2012Metric,123.2,-81.2,-90.0,top
D7,LED,LED_0805_2012Metric,160.6,-51.4,-90.0,top
D8,LED,LED_0805_2012Metric,163.0,-51.4,-90.0,top
D9,LED,LED_0805_2012Metric,165.4,-51.4,-90.0,top
J9,USB_C_Receptacle,USB_C_Receptacle_HRO_TYPE-C-31-M-12,216.86,-68.97,90.0,top
R1,150,R_0805_2012Metric,187.4,-73.1,-90.0,top
R2,4k7,R_0805_2012Metric,150.7,-59.9,90.0,top
R3,2k2,R_0805_2012Metric,161.2,-81.3,90.0,top
R4,2k2,R_0805_2012Metric,163.3,-81.4,90.0,top
R5,2k2,R_0805_2012Metric,172.4,-70.9,180.0,top
R6,2k2,R_0805_2012Metric,172.4,-68.7,180.0,top
R7,1k5,R_0805_2012Metric,220.0,-48.8125,90.0,top
R8,1k5,R_0805_2012Metric,214.6,-48.8,90.0,top
R9,560,R_0805_2012Metric,202.4,-80.5,-90.0,top
R10,560,R_0805_2012Metric,204.7,-80.5,-90.0,top
R11,5k1,R_0805_2012Metric,209.41,-66.26,-90.0,top
R12,5k1,R_0805_2012Metric,209.48,-71.7,90.0,top
R13,4k7,R_0805_2012Metric,199.5,-50.4,-90.0,top
R14,100,R_0805_2012Metric,145.2,-64.6,-90.0,top
R15,10k,R_0805_2012Metric,113.5,-54.6,180.0,top
R16,10k,R_0805_2012Metric,99.3,-80.7,90.0,top
R17,660,R_0805_2012Metric,111.8,-82.3,-90.0,top
R18,660,R_0805_2012Metric,114.0,-82.3,-90.0,top
R19,660,R_0805_2012Metric,116.2,-82.3,-90.0,top
R20,660,R_0805_2012Metric,120.7,-68.1,0.0,top
R23,660,R_0805_2012Metric,160.6,-55.0,90.0,top
R24,660,R_0805_2012Metric,163.0,-55.0,90.0,top
R25,660,R_0805_2012Metric,165.4,-55.0,90.0,top
R26,220,R_0805_2012Metric,149.9,-65.2,180.0,top
R27,100,R_0805_2012Metric,130.9,-74.6,90.0,top
