Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
120R1,FerriteBead,L_0805_2012Metric,133.37,-90.16,180.0,top
C1,4u7,C_0805_2012Metric,188.52,-83.31,90.0,top
C2,22u,C_0805_2012Metric,208.27,-69.34,0.0,top
C3,100n,C_0805_2012Metric,189.68,-87.65,90.0,top
C4,100n,C_0805_2012Metric,139.35,-75.59,90.0,top
C5,100n,C_0805_2012Metric,164.96,-86.29,0.0,top
C6,100n,C_0805_2012Metric,187.59,-87.67,90.0,top
C7,4.7u,C_0805_2012Metric,188.1,-79.77,90.0,top
C8,10n,C_0805_2012Metric,133.45,-86.2,180.0,top
C9,1u,C_0805_2012Metric,133.4,-88.24,180.0,top
C10,1u,C_0805_2012Metric,133.53,-92.06,0.0,top
C11,100n,C_0805_2012Metric,141.855,-80.48,90.0,top
C12,100n,C_0805_2012Metric,155.39,-81.24,0.0,top
C13,100n,C_0805_2012Metric,153.84,-93.72,-90.0,top
C14,100n,C_0805_2012Metric,141.765,-92.64,-90.0,top
C15,4.7u,C_0805_2012Metric,178.92,-78.96,0.0,top
C16,100n,C_0805_2012Metric,185.59,-84.04,-90.0,top
C17,100n,C_0805_2012Metric,175.5,-69.27,90.0,top
C18,100n,C_0805_2012Metric,177.55,-69.25,90.0,top
C19,4u7,C_0805_2012Metric,200.62,-104.91,180.0,top
C20,100n,C_0805_2012Metric,199.4,-80.1,-90.0,top
CR1,M24C02-RDW6TP,New_ESP32_M24C02-RMN6TP,160.78,-69.83,180.0,top
D1,LED,LED_0805_2012Metric,193.88,-87.27,180.0,top
D2,DIODE,D_0805_2012Metric,206.2025,-79.34,180.0,top
D3,LED,LED_0805_2012Metric,112.17,-102.82,0.0,top
D4,LED,LED_0805_2012Metric,122.07,-86.31,0.0,top
D5,LED,LED_0805_2012Metric,115.64,-102.82,0.0,top
D6,LED,LED_0805_2012Metric,119.13,-102.81,0.0,top
D7,LED,LED_0805_2012Metric,126.35,-77.88,0.0,top
D8,LED,LED_0805_2012Metric,126.35,-79.88,0.0,top
D9,LED,LED_0805_2012Metric,126.36,-81.87,0.0,top
D10,DIODE,D_0805_2012Metric,206.35,-93.55,180.0,top
D11,LED,LED_0805_2012Metric,190.59,-83.31,-90.0,top
J1,Conn_01x02_Female,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,202.75,-111.03,0.0,top
J2,Conn_01x06_Female,JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal,181.16,-61.76,180.0,top
J3,Conn_01x04_Female,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,99.96,-111.25,0.0,top
J4,Conn_01x08_Female,JST_PH_S8B-PH-SM4-TB_1x08-1MP_P2.00mm_Horizontal,200.5,-61.76,180.0,top
J5,Conn_01x04_Female,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,165.84,-61.81,180.0,top
J6,Conn_01x08_Female,JST_PH_S8B-PH-SM4-TB_1x08-1MP_P2.00mm_Horizontal,98.33,-67.2,-90.0,top
J7,Conn_01x04_Female,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,113.29,-111.26,0.0,top
J8,Conn_01x04_Female,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,152.53,-61.81,180.0,top
J9,USB_C_Receptacle,USB_C_Receptacle_HRO_TYPE-C-31-M-12,207.09,-86.57,90.0,top
R1,150,R_0805_2012Metric,193.91,-89.33,0.0,top
