"Reference","Value","Footprint","Datasheet","Availability","Description","JLCPCB#","MF","MP","Package","Price","Purchase-URL","Qty"
"120R1","FerriteBead","Inductor_SMD:L_0603_1608Metric","~","","","C127301","","","","","","1"
"C1, C19","4u7","Capacitor_SMD:C_0402_1005Metric","~","","","C23733","","","","","","2"
"C2","22u","Capacitor_SMD:C_0805_2012Metric","~","","","C45783","","","","","","1"
"C3, C6, C28, C31","4.7u","Capacitor_SMD:C_0402_1005Metric","~","","","C23733","","","","","","4"
"C4, C23","33P","Capacitor_SMD:C_0805_2012Metric","~","","","C107115","","","","","","2"
"C5","10U","Capacitor_SMD:C_0402_1005Metric","~","","","C15525","","","","","","1"
"C7, C11-C16, C20, C24-C26, C32-C35","100n","Capacitor_SMD:C_0402_1005Metric","~","","","C1525","","","","","","15"
"C8","10n","Capacitor_SMD:C_0402_1005Metric","~","","","C15195","","","","","","1"
"C9, C10, C17, C18, C27","1u","Capacitor_SMD:C_0402_1005Metric","~","","","C52923","","","","","","5"
"C21, C22","2u2","Capacitor_SMD:C_0402_1005Metric","~","","","C12530","","","","","","2"
"C29, C30","100U","Capacitor_SMD:C_1206_3216Metric","~","","","C15008","","","","","","2"
"CR1","M24C02-RDW6TP","ESP32-S3-WROOM-1-N8R2:New_ESP32_M24C02-RMN6TP","","","","C83836","","","","","","1"
"D2, D10","1N5819WS","Diode_SMD:D_SOD-323","https://datasheet.lcsc.com/lcsc/2204281430_Guangdong-Hottech-1N5819WS_C191023.pdf","","","C191023","","","","","","2"
"D3-D5, D18","ASMB-MTB1-0A3A2","1x6 pin download:LED RGB","https://docs.broadcom.com/docs/AV02-4194EN","","","C2874115","","","","","","4"
"D11","LED","LED_SMD:LED_0805_2012Metric","~","","","C130114","","","","","","1"
"J1, J2, J15","Conn_01x02_Female","Connector_JST:JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal","~","","","C295747","","","","","","3"
"J4","Conn_01x08_Male","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","","","C2894931","","","","","","1"
"J6, J7, J12, J13","Conn_01x04_Female","1x4 pin download:1x4pin 1mm connector","~","","","C3029343","","","","","","4"
"J8, J11","Conn_01x06_Female","Connector_JST:JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal","~","","","C265405","","","","","","2"
"J9","USB_C_Receptacle","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","","","C165948","","","","","","1"
"J10","Conn_01x08_Female","Connector_JST:JST_PH_S8B-PH-SM4-TB_1x08-1MP_P2.00mm_Horizontal","~","","","C265121","","","","","","1"
"R1, R5, R10, R19, R20, R32","4k7","Resistor_SMD:R_0402_1005Metric","~","","","C25900","","","","","","6"
"R2, R3","5k1","Resistor_SMD:R_0402_1005Metric","~","","","C25905","","","","","","2"
"R4","15k","Resistor_SMD:R_0402_1005Metric","~","","","C25756","","","","","","1"
